1_tensor(0.5047, device='cuda:0')
2_tensor(0.4734, device='cuda:0')
3_tensor(0.5250, device='cuda:0')
4_tensor(0.5369, device='cuda:0')
5_tensor(0.5472, device='cuda:0')
6_tensor(0.5556, device='cuda:0')
7_tensor(0.5494, device='cuda:0')
8_tensor(0.5731, device='cuda:0')
9_tensor(0.5791, device='cuda:0')
10_tensor(0.5653, device='cuda:0')
11_tensor(0.5650, device='cuda:0')
12_tensor(0.5712, device='cuda:0')
13_tensor(0.5881, device='cuda:0')
14_tensor(0.5737, device='cuda:0')
15_tensor(0.5863, device='cuda:0')
16_tensor(0.5950, device='cuda:0')
17_tensor(0.5878, device='cuda:0')
18_tensor(0.5863, device='cuda:0')
19_tensor(0.5931, device='cuda:0')
20_tensor(0.5894, device='cuda:0')
21_tensor(0.5863, device='cuda:0')
