1_tensor(0.6959, device='cuda:0')
2_tensor(0.7334, device='cuda:0')
3_tensor(0.7881, device='cuda:0')
4_tensor(0.8168, device='cuda:0')
5_tensor(0.8155, device='cuda:0')
6_tensor(0.8328, device='cuda:0')
7_tensor(0.8374, device='cuda:0')
8_tensor(0.8520, device='cuda:0')
9_tensor(0.8452, device='cuda:0')
10_tensor(0.8654, device='cuda:0')
11_tensor(0.8582, device='cuda:0')
12_tensor(0.8644, device='cuda:0')
13_tensor(0.8670, device='cuda:0')
14_tensor(0.8693, device='cuda:0')
15_tensor(0.8758, device='cuda:0')
