1_tensor(0.7431, device='cuda:0')
2_tensor(0.7772, device='cuda:0')
3_tensor(0.8044, device='cuda:0')
4_tensor(0.8024, device='cuda:0')
5_tensor(0.7918, device='cuda:0')
6_tensor(0.7968, device='cuda:0')
7_tensor(0.8164, device='cuda:0')
8_tensor(0.8181, device='cuda:0')
9_tensor(0.8212, device='cuda:0')
10_tensor(0.8228, device='cuda:0')
11_tensor(0.8217, device='cuda:0')
12_tensor(0.8231, device='cuda:0')
13_tensor(0.8231, device='cuda:0')
14_tensor(0.8170, device='cuda:0')
15_tensor(0.8304, device='cuda:0')
16_tensor(0.8282, device='cuda:0')
17_tensor(0.8282, device='cuda:0')
18_tensor(0.8279, device='cuda:0')
19_tensor(0.8254, device='cuda:0')
20_tensor(0.8254, device='cuda:0')
21_tensor(0.8349, device='cuda:0')
22_tensor(0.8324, device='cuda:0')
23_tensor(0.8287, device='cuda:0')
24_tensor(0.8301, device='cuda:0')
25_tensor(0.8335, device='cuda:0')
26_tensor(0.8321, device='cuda:0')
27_tensor(0.8307, device='cuda:0')
28_tensor(0.8338, device='cuda:0')
29_tensor(0.8335, device='cuda:0')
30_tensor(0.8371, device='cuda:0')
31_tensor(0.8357, device='cuda:0')
32_tensor(0.8346, device='cuda:0')
33_tensor(0.8366, device='cuda:0')
34_tensor(0.8346, device='cuda:0')
35_tensor(0.8405, device='cuda:0')
36_tensor(0.8371, device='cuda:0')
37_tensor(0.8363, device='cuda:0')
38_tensor(0.8340, device='cuda:0')
39_tensor(0.8363, device='cuda:0')
40_tensor(0.8380, device='cuda:0')
41_tensor(0.8363, device='cuda:0')
42_tensor(0.8343, device='cuda:0')
43_tensor(0.8366, device='cuda:0')
44_tensor(0.8368, device='cuda:0')
