1_tensor(0.7001, device='cuda:0')
2_tensor(0.7826, device='cuda:0')
3_tensor(0.7725, device='cuda:0')
4_tensor(0.8136, device='cuda:0')
5_tensor(0.8308, device='cuda:0')
6_tensor(0.8390, device='cuda:0')
7_tensor(0.8295, device='cuda:0')
8_tensor(0.8334, device='cuda:0')
9_tensor(0.8462, device='cuda:0')
10_tensor(0.8426, device='cuda:0')
11_tensor(0.8566, device='cuda:0')
12_tensor(0.8589, device='cuda:0')
13_tensor(0.8628, device='cuda:0')
14_tensor(0.8631, device='cuda:0')
15_tensor(0.8703, device='cuda:0')
16_tensor(0.8638, device='cuda:0')
17_tensor(0.8690, device='cuda:0')
18_tensor(0.8784, device='cuda:0')
19_tensor(0.8817, device='cuda:0')
20_tensor(0.8765, device='cuda:0')
21_tensor(0.8804, device='cuda:0')
22_tensor(0.8817, device='cuda:0')
1_tensor(0.7018, device='cuda:0')
2_tensor(0.7914, device='cuda:0')
3_tensor(0.7898, device='cuda:0')
4_tensor(0.8178, device='cuda:0')
5_tensor(0.8396, device='cuda:0')
6_tensor(0.8387, device='cuda:0')
7_tensor(0.8318, device='cuda:0')
8_tensor(0.8432, device='cuda:0')
1_tensor(0.7024, device='cuda:0')
2_tensor(0.7823, device='cuda:0')
3_tensor(0.7816, device='cuda:0')
4_tensor(0.8194, device='cuda:0')
5_tensor(0.8302, device='cuda:0')
6_tensor(0.8396, device='cuda:0')
7_tensor(0.8328, device='cuda:0')
8_tensor(0.8488, device='cuda:0')
9_tensor(0.8383, device='cuda:0')
10_tensor(0.8419, device='cuda:0')
11_tensor(0.8396, device='cuda:0')
12_tensor(0.8576, device='cuda:0')
13_tensor(0.8657, device='cuda:0')
14_tensor(0.8680, device='cuda:0')
15_tensor(0.8628, device='cuda:0')
16_tensor(0.8677, device='cuda:0')
17_tensor(0.8625, device='cuda:0')
18_tensor(0.8752, device='cuda:0')
19_tensor(0.8820, device='cuda:0')
20_tensor(0.8758, device='cuda:0')
21_tensor(0.8856, device='cuda:0')
22_tensor(0.8833, device='cuda:0')
23_tensor(0.8885, device='cuda:0')
24_tensor(0.8823, device='cuda:0')
25_tensor(0.8787, device='cuda:0')
26_tensor(0.8875, device='cuda:0')
27_tensor(0.8937, device='cuda:0')
28_tensor(0.8846, device='cuda:0')
29_tensor(0.8869, device='cuda:0')
30_tensor(0.8915, device='cuda:0')
31_tensor(0.8882, device='cuda:0')
32_tensor(0.8895, device='cuda:0')
33_tensor(0.8905, device='cuda:0')
34_tensor(0.8908, device='cuda:0')
35_tensor(0.8895, device='cuda:0')
36_tensor(0.8895, device='cuda:0')
